Name,App.,Minutes,Shots,Shots on Target,Shots in Box,Shots Outside Box,Headed Attempts,Big Chance,Big Chance Created,Goals,Goals inside Box,Goals outside Box,Headed Goal,Goal Involvement,Key Pass,Big Chance Created.1,Assists,Crosses (Tot.),Crosses (Succ.),Crosses Succ. %,Exp. Goals (xG),Non Penalty xG (NPxG),Exp. Assists (xA),Exp. Att. Points (xATT),Exp. Points (xPts),Exp. Involvement (xGI),Cost (£M),Points,Bonus Points,Baseline BPS,BPS,Threat,Creativity,Influence,Total Passes,Accurate Passes,Pass Completion (%),Opp. Half Passes,Opp. Half Accurate,Opp. Half Pass %,Final 3rd Passes,Final 3rd Accurate,Final 3rd Pass %,Throughballs (Tot.),Throughballs (Succ.),Touches (All),Touches (Box),Entries (Box),Fouls Won (Final 3rd),Penalty Box Entries,Fouls Won (Box),Fouls Made,Corners Taken,Set Piece Into Box,Freekicks (Indirect),Freekicks Taken,Freekicks (Accurate),Freekicks (Direct),Freekick Scored,Penalties Taken,Penalties Scored,Penalties Missed,Clean Sheets,Goals Conceded,Exp. Clean Sheets,Expected Goals Conceded,Shots Conceded,Shots In Box Conceded,Shots on Target Conceded,Headed Shots Conceded,Shots Conc. Set Pieces,Big Chances Conceded,Tackles (Tot.),Tackles (Won),Tackles Won (%),Recoveries,Clearances,Blocks,Interceptions,CBI,Shots Conc. Set Pieces.1,Wins,Saves,Yellow Cards,Second Yellows,Red Cards,Offsides,Errors (lead to Goal),Errors (lead to Shot),Own Goals,Names,Position,Team
Young (D)AVL,2 (2),16,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.04,1.76,1,4.4,0.5,0.0,2.5,2.5,2.0,0.35,1.4,8.5,6.5,76,3.5,2.5,71,2.5,1.5,60,0.0,0.0,11.5,0.5,1.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.99,7.5,4.0,2.5,2.0,0.0,1.5,0.5,0.5,100,2.5,1.5,0.0,0.5,2.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Young ,D,AVL
Konsa (D)AVL,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.02,3.38,0,4.4,2.0,0.0,14.5,14.5,1.0,0.25,16.8,38.0,33.5,88,6.5,4.5,69,2.5,1.0,40,0.0,0.0,50.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.99,7.5,4.0,2.5,2.0,0.0,1.5,0.5,0.0,0,2.5,5.5,0.5,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Konsa ,D,AVL
Cancelo (D)MCI,2,56,1.5,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,3.0,1.5,50,0.12,0.12,0.08,0.95,2.16,9,7.4,-0.5,0.0,4.5,0.0,27.5,15.15,5.2,62.0,53.0,85,43.0,34.0,79,24.5,17.0,69,0.0,0.0,73.5,4.0,6.0,0.0,6.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.05,7.0,5.5,5.0,1.0,0.5,3.5,1.0,0.0,0,3.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,Cancelo ,D,MCI
N.Williams (D)NFO,2 (1),47,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,3.5,0.5,14,0.07,0.07,0.21,1.05,3.94,20,4,1.0,0.0,12.0,12.0,3.5,7.65,11.6,16.5,13.5,82,10.0,5.5,55,3.0,2.0,67,0.0,0.0,36.0,0.0,2.0,0.5,3.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.01,7.0,6.0,1.0,1.5,0.5,1.5,3.0,2.5,83,3.0,0.5,0.0,1.0,1.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.Williams ,D,NFO
Mitchell (D)CRY,2,75,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,3.5,0.0,0,0.05,0.05,0.06,0.49,4.4,11,4.5,1.0,0.0,6.0,6.0,23.0,7.55,10.7,30.5,23.0,75,21.5,14.5,67,8.5,6.5,76,0.0,0.0,51.0,3.5,2.5,0.0,4.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.52,7.0,5.0,2.0,1.0,2.0,0.5,1.0,0.5,50,5.5,2.5,0.5,0.0,3.0,2.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Mitchell ,D,CRY
Saliba (D)ARS,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.5,100,0.0,0.0,0.0,0.04,4.94,1,5.3,7.0,1.0,15.0,27.0,2.0,3.25,17.6,73.0,64.5,88,31.5,28.0,89,6.0,5.0,83,0.0,0.0,81.0,1.0,6.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.38,8.0,5.0,1.5,0.5,0.0,0.0,1.0,0.5,50,9.5,2.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Saliba ,D,ARS
Veltman (D)BHA,2 (2),16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.02,0.05,1.68,1,4.6,1.0,0.0,5.5,5.5,0.0,6.6,3.0,21.5,21.0,98,15.5,15.0,97,8.0,7.5,94,0.0,0.0,22.5,0.0,5.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.4,8.0,5.5,3.5,1.0,0.5,1.5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Veltman ,D,BHA
Cooper (D)LEE,2,90,1.0,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.5,14,0.0,0.0,0.0,0.0,0.0,0,0.1,0.1,0.04,0.76,2.42,7,4.4,3.5,0.0,13.5,19.5,20.5,1.4,30.1,51.5,43.0,83,27.5,20.5,75,8.0,3.5,44,0.0,0.0,63.0,2.0,7.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,1.0,0.5,50,8.0,4.0,0.0,2.0,6.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cooper ,D,LEE
Ayling (D)LEE,2 (2),7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.49,0,4.5,0.5,0.0,3.0,3.0,0.0,0.15,0.5,3.0,1.5,50,1.5,0.5,33,1.0,0.0,0,0.0,0.0,5.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,0.0,0.0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ayling ,D,LEE
Struijk (D)LEE,2,90,1.5,0.0,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14,2.0,0.0,0.5,1.5,0.5,33,0.04,0.04,0.12,0.6,2.32,8,4.5,2.0,0.0,17.5,22.0,21.0,25.6,23.4,47.0,41.0,87,30.0,25.0,83,14.5,13.0,90,0.0,0.0,74.0,2.0,7.5,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,3.5,2.0,57,6.0,2.0,1.0,0.5,3.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Struijk ,D,LEE
Robinson (D)FUL,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,1.5,0.0,0,0.0,0.0,0.02,0.07,0.75,1,4.4,0.5,0.0,7.5,7.5,1.0,6.25,8.8,36.0,28.5,79,18.5,12.0,65,9.5,5.5,58,0.0,0.0,61.0,0.5,6.5,0.0,2.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,3.06,15.0,11.0,7.0,3.0,1.0,5.5,1.0,0.5,50,6.5,2.0,0.5,0.0,2.5,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Robinson ,D,FUL
Salisu (D)SOU,2,90,1.5,0.5,1.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,50,0.5,0.0,0.5,0.0,0.0,0,0.1,0.1,0.24,1.36,2.74,21,4.4,1.5,0.0,14.5,19.0,20.0,7.85,26.8,48.5,40.0,82,22.5,16.5,73,14.0,9.0,64,0.5,0.5,66.5,2.0,12.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,,2.28,11.0,9.0,5.5,4.5,0.5,4.5,3.0,2.0,67,6.5,4.5,0.5,0.5,5.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Salisu ,D,SOU
Gabriel (D)ARS,2,90,1.0,0.5,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,33,0.0,0.5,0.0,0.0,0.0,0,0.25,0.25,0.05,1.65,6.08,21,5.2,10.0,1.5,13.5,31.5,22.5,1.25,29.7,62.0,54.5,88,29.5,23.0,78,10.0,5.5,55,0.0,0.0,73.0,3.0,8.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.38,8.0,5.0,1.5,0.5,0.0,0.0,1.0,0.5,50,6.5,2.5,0.5,2.0,5.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Gabriel ,D,ARS
Cash (D)AVL,2,90,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.02,0.08,2.89,2,4.6,1.5,0.0,11.0,11.0,1.5,6.4,10.9,33.5,24.5,73,14.5,10.0,69,5.0,2.5,50,0.0,0.0,53.5,0.5,3.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.99,7.5,4.0,2.5,2.0,0.0,1.5,1.0,1.0,100,5.0,2.0,0.5,2.0,4.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Cash ,D,AVL
Thiago Silva (D)CHE,2 (1),86,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.01,0.01,0.01,0.08,2.86,6,5.4,2.0,0.0,13.0,13.0,4.0,1.05,23.0,64.0,55.0,86,22.5,14.5,64,12.5,6.5,52,0.0,0.0,76.5,1.0,11.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,1.35,12.0,9.0,2.5,2.5,1.0,2.5,1.5,0.5,33,6.5,4.0,1.5,2.0,7.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Thiago Silva ,D,CHE
Castagne (D)LEI,2,90,0.5,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0,1.5,0.5,0.0,1.5,1.0,67,0.15,0.15,0.06,1.09,4.14,10,4.7,6.0,0.0,10.5,22.5,4.5,20.7,19.4,40.5,30.0,74,13.5,11.0,81,6.5,5.5,85,0.0,0.0,63.5,1.0,3.5,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1.16,15.0,11.5,4.0,5.0,1.0,1.0,3.0,1.5,50,5.0,3.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Castagne ,D,LEI
Koch (D)LEE,2,90,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.02,0.02,0.02,0.23,1.84,2,4.5,0.5,0.0,12.0,12.0,12.0,1.8,14.8,51.5,41.5,81,27.0,22.0,81,12.0,10.0,83,0.0,0.0,61.5,1.5,9.5,0.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,,2.54,11.5,9.5,7.0,0.5,0.0,4.5,1.5,0.5,33,6.0,3.0,0.5,2.0,5.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Koch ,D,LEE
Semedo (D)WOL,2,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,1.5,0.0,0,0.0,0.0,0.02,0.05,1.75,1,5,-0.5,0.0,6.0,1.5,0.0,8.05,4.4,18.0,14.5,81,11.0,8.0,73,4.5,4.0,89,1.0,0.5,29.0,0.0,1.5,0.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,1.75,16.5,11.5,6.0,4.0,0.5,2.0,1.0,0.5,50,3.0,2.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,Semedo ,D,WOL
Andersen (D)CRY,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.5,0.0,0,0.0,0.0,0.0,0.02,4.48,0,4.5,2.0,0.0,12.0,12.0,1.0,1.4,18.7,107.0,90.0,84,44.5,28.5,64,17.5,5.5,31,0.0,0.0,114.5,0.5,16.5,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.52,7.0,5.0,2.0,1.0,2.0,0.5,0.5,0.0,0,6.5,3.5,0.0,1.0,4.5,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Andersen ,D,CRY
Bueno (D)WOL,2,90,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,2.0,1.0,50,0.02,0.02,0.06,0.33,2.11,8,3.9,0.5,0.0,11.0,11.0,12.0,15.55,19.6,26.5,20.0,75,14.0,9.5,68,7.5,5.0,67,0.0,0.0,52.5,2.0,3.0,0.0,2.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,,1.75,16.5,11.5,6.0,4.0,0.5,2.0,4.5,2.0,44,5.5,3.0,0.0,0.5,3.5,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Bueno ,D,WOL
Henry (D)BRE,2,90,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0,0.5,0.0,0.0,2.5,0.5,20,0.0,0.0,0.2,0.63,2.61,9,4.5,1.5,0.0,12.0,12.0,1.0,10.3,14.5,24.5,16.5,67,17.0,10.5,62,11.0,7.0,64,0.5,0.5,43.0,0.5,4.5,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,,1.98,22.0,13.0,6.5,3.5,0.5,2.0,0.5,0.5,100,6.5,4.0,0.5,1.5,6.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Henry ,D,BRE
